Date,Category,Amount,Description
2024-01-15,Food,25.50,Lunch at restaurant
2024-01-16,Transportation,12.00,Bus fare
2024-01-17,Groceries,85.30,Weekly grocery shopping
2024-01-18,Entertainment,45.00,Movie tickets
2024-01-19,Utilities,120.50,Electricity bill
2024-01-20,Food,18.75,Coffee and snacks
2024-01-21,Transportation,35.00,Gas for car
2024-01-22,Healthcare,150.00,Doctor visit
2024-01-23,Groceries,67.80,Organic produce
2024-01-24,Entertainment,28.50,Netflix subscription
2024-01-25,Food,32.40,Dinner with friends
2024-01-26,Transportation,15.00,Parking fee
2024-01-27,Shopping,89.99,New clothes
2024-01-28,Utilities,85.00,Internet bill
2024-01-29,Food,22.30,Breakfast
2024-01-30,Transportation,45.00,Uber ride
2024-01-31,Healthcare,75.00,Pharmacy
2024-02-01,Groceries,95.60,Monthly shopping
2024-02-02,Entertainment,55.00,Concert tickets
2024-02-03,Food,38.90,Brunch
